date,datetime,SPOSTMIN,SACTMIN
01/01/2012,2012-01-01 09:12:00,5,
01/01/2012,2012-01-01 13:51:00,10,
01/01/2012,2012-01-01 17:38:00,15,
01/01/2012,2012-01-01 19:32:00,-999,
01/02/2012,2012-01-02 13:33:00,-999,
01/03/2012,2012-01-03 10:22:00,5,
01/04/2012,2012-01-04 09:59:00,-999,
01/05/2012,2012-01-05 09:34:00,-999,
01/05/2012,2012-01-05 10:32:00,30,
01/05/2012,2012-01-05 12:55:00,15,
01/05/2012,2012-01-05 17:29:00,15,
01/06/2012,2012-01-06 09:20:00,5,
01/06/2012,2012-01-06 15:01:00,-999,
01/06/2012,2012-01-06 16:21:00,-999,
01/07/2012,2012-01-07 12:42:00,20,
01/07/2012,2012-01-07 13:02:00,-999,
01/07/2012,2012-01-07 13:53:00,5,
01/07/2012,2012-01-07 14:00:00,10,
01/08/2012,2012-01-08 12:23:00,5,
01/08/2012,2012-01-08 14:36:00,5,
01/09/2012,2012-01-09 11:02:00,10,
01/09/2012,2012-01-09 11:19:00,5,
01/09/2012,2012-01-09 12:52:00,5,
01/09/2012,2012-01-09 12:55:00,-999,
01/10/2012,2012-01-10 09:27:00,0,
01/10/2012,2012-01-10 09:52:00,0,
01/10/2012,2012-01-10 10:37:00,0,
01/10/2012,2012-01-10 12:07:00,-999,
01/10/2012,2012-01-10 15:34:00,-999,
01/11/2012,2012-01-11 10:52:00,5,
01/12/2012,2012-01-12 10:25:00,-999,
01/13/2012,2012-01-13 11:19:00,0,
01/14/2012,2012-01-14 10:06:00,50,
01/14/2012,2012-01-14 14:16:00,10,
01/15/2012,2012-01-15 12:04:00,-999,
01/15/2012,2012-01-15 12:57:00,15,
01/18/2012,2012-01-18 12:56:00,-999,
01/19/2012,2012-01-19 11:03:00,-999,
01/20/2012,2012-01-20 16:33:00,-999,
01/21/2012,2012-01-21 13:00:00,15,
01/23/2012,2012-01-23 08:45:00,-999,
01/23/2012,2012-01-23 11:02:00,-999,
01/23/2012,2012-01-23 16:55:00,-999,
01/24/2012,2012-01-24 13:29:00,-999,
01/24/2012,2012-01-24 15:25:00,15,
01/24/2012,2012-01-24 15:49:00,-999,
01/24/2012,2012-01-24 15:56:00,-999,
01/25/2012,2012-01-25 08:11:00,-999,
01/26/2012,2012-01-26 11:22:00,5,
01/26/2012,2012-01-26 12:15:00,-999,
01/26/2012,2012-01-26 14:34:00,5,
01/26/2012,2012-01-26 15:07:00,5,
01/26/2012,2012-01-26 16:36:00,-999,
01/27/2012,2012-01-27 13:47:00,-999,
01/27/2012,2012-01-27 14:23:00,5,
01/27/2012,2012-01-27 14:58:00,5,
01/28/2012,2012-01-28 10:59:00,5,
01/28/2012,2012-01-28 18:13:00,-999,
01/29/2012,2012-01-29 15:26:00,10,
01/29/2012,2012-01-29 16:53:00,-999,
01/30/2012,2012-01-30 10:12:00,10,
01/31/2012,2012-01-31 10:22:00,-999,
02/01/2012,2012-02-01 13:35:00,5,
02/01/2012,2012-02-01 14:25:00,5,
02/02/2012,2012-02-02 09:25:00,5,
02/02/2012,2012-02-02 14:44:00,-999,
02/02/2012,2012-02-02 14:50:00,-999,
02/03/2012,2012-02-03 12:31:00,5,
02/04/2012,2012-02-04 13:48:00,15,
02/05/2012,2012-02-05 11:11:00,20,
